budget,id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,release_year,release_month,profit,roi,hitflop,director_Christopher_Nolan,director_Steven_Spielberg,director_James_Cameron,director_Quentin_Tarantino,director_Ridley_Scott,director_Peter_Jackson,director_David_Fincher,director_Martin_Scorsese,director_Denis_Villeneuve,director_Jon_Favreau,director_JJ_Abrams,director_Zack_Snyder,director_other,company_Walt_Disney_Pictures,company_Warner_Bros,company_Universal_Pictures,company_Columbia_Pictures,company_Paramount_Pictures,company_20th_Century_Fox,company_Marvel_Studios,company_Pixar,company_Lionsgate,company_MGM,company_DreamWorks_Animation,company_New_Line_Cinema,company_Legendary_Pictures,genre_Drama,genre_Comedy,genre_Action,genre_Thriller,genre_Romance,genre_Adventure,genre_Horror
237000000,19995,150.437577,2009-12-10,2787965087,162.0,Avatar,7.2,11800,2009,12,2550965087,10.763565767932487,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
300000000,285,139.082615,2007-05-19,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,2007,5,661000000,2.203333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
245000000,206647,107.376788,2015-10-26,880674609,148.0,Spectre,6.3,4466,2015,10,635674609,2.5945902408163266,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
250000000,49026,112.31295,2012-07-16,1084939099,165.0,The Dark Knight Rises,7.6,9106,2012,7,834939099,3.339756396,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
260000000,49529,43.926995,2012-03-07,284139100,132.0,John Carter,6.1,2124,2012,3,24139100,0.0928426923076923,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
258000000,559,115.699814,2007-05-01,890871626,139.0,Spider-Man 3,5.9,3576,2007,5,632871626,2.4529907984496124,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
260000000,38757,48.681969,2010-11-24,591794936,100.0,Tangled,7.4,3330,2010,11,331794936,1.2761343692307692,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000000,99861,134.279229,2015-04-22,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,2015,4,1125403694,4.019298907142857,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
250000000,767,98.885637,2009-07-07,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,2009,7,683959197,2.735836788,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
250000000,209112,155.790452,2016-03-23,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,2016,3,623260194,2.493040776,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
270000000,1452,57.925623,2006-06-28,391081192,154.0,Superman Returns,5.4,1400,2006,6,121081192,0.4484488592592592,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
200000000,10764,107.928811,2008-10-30,586090727,106.0,Quantum of Solace,6.1,2965,2008,10,386090727,1.930453635,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
200000000,58,145.847379,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,2006,6,865659812,4.32829906,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
255000000,57201,49.046956,2013-07-03,89289910,149.0,The Lone Ranger,5.9,2311,2013,7,-165710090,-0.6498434901960785,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
225000000,49521,99.398009,2013-06-12,662845518,143.0,Man of Steel,6.5,6359,2013,6,437845518,1.94598008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
225000000,2454,53.978602,2008-05-15,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,2008,5,194651413,0.8651173911111111,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220000000,24428,144.448633,2012-04-25,1519557910,143.0,The Avengers,7.4,11776,2012,4,1299557910,5.907081409090909,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
380000000,1865,135.413856,2011-05-14,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,2011,5,665713802,1.7518784263157894,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
225000000,41154,52.035179,2012-05-23,624026776,106.0,Men in Black 3,6.2,4160,2012,5,399026776,1.7734523377777778,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
250000000,122917,120.965743,2014-12-10,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,2014,12,706019788,2.824079152,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
215000000,1930,89.866276,2012-06-27,752215857,136.0,The Amazing Spider-Man,6.5,6586,2012,6,537215857,2.4986784046511628,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
200000000,20662,37.668301,2010-05-12,310669540,140.0,Robin Hood,6.2,1398,2010,5,110669540,0.5533477,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
250000000,57158,94.370564,2013-12-11,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,2013,12,708400000,2.8336,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
180000000,2268,42.990906,2007-12-04,372234864,113.0,The Golden Compass,5.8,1303,2007,12,192234864,1.0679714666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
207000000,254,61.22601,2005-12-14,550000000,187.0,King Kong,6.6,2337,2005,12,343000000,1.6570048309178744,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
200000000,597,100.025899,1997-11-18,1845034188,194.0,Titanic,7.5,7562,1997,11,1645034188,8.22517094,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
250000000,271110,198.372395,2016-04-27,1153304495,147.0,Captain America: Civil War,7.1,7241,2016,4,903304495,3.61321798,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
209000000,44833,64.928382,2012-04-11,303025485,131.0,Battleship,5.5,2114,2012,4,94025485,0.4498827033492823,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
150000000,135397,418.708552,2015-06-09,1513528810,124.0,Jurassic World,6.5,8662,2015,6,1363528810,9.090192066666669,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
200000000,37724,93.004993,2012-10-25,1108561013,143.0,Skyfall,6.9,7604,2012,10,908561013,4.542805065,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
200000000,558,35.149586,2004-06-25,783766341,127.0,Spider-Man 2,6.7,4321,2004,6,583766341,2.918831705,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
200000000,68721,77.68208,2013-04-18,1215439994,130.0,Iron Man 3,6.8,8806,2013,4,1015439994,5.07719997,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
200000000,12155,78.530105,2010-03-03,1025491110,108.0,Alice in Wonderland,6.4,4645,2010,3,825491110,4.12745555,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
